"","CA","IL","IN","Italy","MI","NY","TX","WA","WI"
"CA",0,0.0260301067405699,0.10473499067017,0.135462639304263,0.123391660368436,0.0686344850305263,0.188550493197207,0.0359285546231669,0.0404119124310751
"IL",0.0260301067405699,0,0.0247466249931643,0.0329713699980694,0.0476215860481708,0.0103670435274277,0.0561888869175741,0.0178553324787652,0.0152912155458364
"IN",0.10473499067017,0.0247466249931643,0,0.335683560550873,0.0781835205992509,0.24795234549516,0.0868149657441662,0.230787659872471,0.353339055092365
"Italy",0.135462639304263,0.0329713699980694,0.335683560550873,0,0.258535317491784,0.243351673544246,0.279556105756477,0.236041050617499,0.36425648021828
"MI",0.123391660368436,0.0476215860481708,0.0781835205992509,0.258535317491784,0,0.188637239903984,0.122739436937651,0.156843483955468,0.146905182056182
"NY",0.0686344850305263,0.0103670435274277,0.24795234549516,0.243351673544246,0.188637239903984,0,0.191487614166502,0.146248347054558,0.290274080646751
"TX",0.188550493197207,0.0561888869175741,0.0868149657441662,0.279556105756477,0.122739436937651,0.191487614166502,0,0.226459703947369,0.214239859241999
"WA",0.0359285546231669,0.0178553324787652,0.230787659872471,0.236041050617499,0.156843483955468,0.146248347054558,0.226459703947369,0,0.107288082577416
"WI",0.0404119124310751,0.0152912155458364,0.353339055092365,0.36425648021828,0.146905182056182,0.290274080646751,0.214239859241999,0.107288082577416,0
