"","Cucurbita_pepo","unknown","Cucurbita_maxima","Cucumis_melo","Cucumis_sativus","Cucurbita_moschata","Lagenaria_siceraria"
"Cucurbita_pepo",0,0.0119328679703896,0.0153496122855901,0.0245528740978357,0.0346543570991282,0.00682761445131146,0.006594136547875
"unknown",0.0119328679703896,0,0.0608794115171245,0.151933945602261,0.118540867168851,0.0750337060368675,0.188405797101449
"Cucurbita_maxima",0.0153496122855901,0.0608794115171245,0,0.10042285538919,0.11373441385961,0.0433017581487342,0.0497699191999706
"Cucumis_melo",0.0245528740978357,0.151933945602261,0.10042285538919,0,0.0454287144878453,0.0740525753936482,0.125353140231598
"Cucumis_sativus",0.0346543570991282,0.118540867168851,0.11373441385961,0.0454287144878453,0,0.0683117483120036,0.0745014228820656
"Cucurbita_moschata",0.00682761445131146,0.0750337060368675,0.0433017581487342,0.0740525753936482,0.0683117483120036,0,0.0627205067034038
"Lagenaria_siceraria",0.006594136547875,0.188405797101449,0.0497699191999706,0.125353140231598,0.0745014228820656,0.0627205067034038,0
